createAt,manageObject,M8001C427,M8001C428,M8001C430,M8001C431,M8001C432,M8001C433,M8001C0,M8001C1,M8001C2,M8001C4,M8001C11,M8001C12,M8001C132,M8001C133,M8001C135,M8001C136,M8001C137,M8001C138,M8001C139,M8001C140,M8001C141,M8001C142,M8001C143,M8001C144,M8001C145,M8001C146,M8001C153,M8001C154,M8001C155,M8001C213,M8001C214,M8001C215,M8001C222,M8001C270,M8001C313,M8001C8,M8001C9,M8001C10,M8001C45,M8001C46,M8001C47,M8001C48,M8001C49,M8001C50,M8001C51,M8001C52,M8001C53,M8001C54,M8001C56,M8001C57,M8001C58,M8001C59,M8001C60,M8001C61,M8001C63,M8001C64,M8001C65,M8001C66,M8001C67,M8001C68,M8001C69,M8001C70,M8001C71,M8001C72,M8001C73,M8001C103,M8001C104,M8001C105,M8001C106,M8001C107,M8001C108,M8001C109,M8001C110,M8001C111,M8001C112,M8001C114,M8001C115,M8001C116,M8001C117,M8001C118,M8001C119,M8001C121,M8001C122,M8001C123,M8001C124,M8001C125,M8001C126,M8001C127,M8001C128,M8001C129,M8001C130,M8001C156,M8001C158,M8001C159,M8001C160,M8001C161,M8001C162,M8001C163,M8001C164,M8001C165,M8001C167,M8001C170,M8001C202,M8001C204,M8001C207,M8001C208,M8001C216,M8001C218,M8001C219,M8001C220,M8001C236,M8001C237,M8001C238,M8001C239,M8001C240,M8001C241,M8001C244,M8001C421,M8001C422,M8001C423,M8001C6,M8001C13,M8001C14,M8001C15,M8001C16,M8001C17,M8001C18,M8001C19,M8001C20,M8001C21,M8001C22,M8001C23,M8001C24,M8001C25,M8001C26,M8001C27,M8001C28,M8001C29,M8001C30,M8001C31,M8001C32,M8001C33,M8001C34,M8001C35,M8001C36,M8001C37,M8001C38,M8001C39,M8001C40,M8001C41,M8001C42,M8001C43,M8001C44,M8001C74,M8001C75,M8001C76,M8001C77,M8001C78,M8001C79,M8001C80,M8001C81,M8001C82,M8001C83,M8001C84,M8001C85,M8001C86,M8001C87,M8001C88,M8001C89,M8001C90,M8001C91,M8001C92,M8001C93,M8001C94,M8001C95,M8001C96,M8001C97,M8001C98,M8001C99,M8001C100,M8001C101,M8001C102,M8001C177,M8001C178,M8001C179,M8001C180,M8001C181,M8001C182,M8001C183,M8001C184,M8001C185,M8001C186,M8001C187,M8001C188,M8001C189,M8001C190,M8001C191,M8001C192,M8001C194,M8001C195,M8001C197,M8001C217,M8001C274,M8001C275,M8001C276,M8001C277,M8001C278,M8001C279,M8001C280,M8001C281,M8001C286,M8001C292,M8001C293,M8001C294,M8001C303,M8001C304,M8001C424,M8001C425,M8001C435,M8001C436,M8001C437,M8001C438,M8001C439,M8001C440,M8001C441,M8001C442,M8001C443,M8001C444,M8001C445,M8001C446,M8001C447,M8001C448,M8001C449,M8001C450,M8001C451,M8001C452,M8001C453,M8001C454,M8001C455,M8001C456,M8001C457,M8001C458,M8001C459,M8001C460,M8001C461,M8001C462,M8001C463,M8001C464,M8001C465,M8001C466,M8001C467,M8001C468,M8001C469,M8001C470,M8001C471,M8001C472,M8001C473,M8001C474,M8001C475,M8001C476,M8001C477,M8001C478,M8001C479,M8001C480,M8001C481,M8001C482,M8001C483,M8001C484,M8001C485,M8001C486,M8001C487,M8001C131,M8001C193,M8001C196,M8001C291,M8001C488,M8001C209,M8001C55,M8001C168,M8001C171,M8001C172,M8001C174,M8001C175,M8001C157,M8001C203,M8001C169,M8001C176,M8001C205,M8001C426,M8001C206,M8001C62,M8001C243,M8001C242,M8001C7,M8001C113,M8001C120,M8001C166
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-690503,80.0,2.0,22.0,12.0,30.0,15.0,3.0,339.0,5.0,,166637,362.0,52643.0,506.0,30786.0,445.0,22434.0,57.0,10439.0,3784.0,22058.0,14717.0,,,322.0,53172.0,30786.0,52632.0,,1.0,9.0,119.0,85.0,5.0,5.0,322.0,1822.0,90000,3279.0,31.0,353.0,32.0,27.0,86.0,72.0,42.0,83.0,15.0,1817.0,202.0,51.0,50.0,184.0,13.0,470.0,85.0,107.0,274.0,339.0,166.0,246.0,349.0,477.0,1108.0,16422.0,,,2.0,,,,2.0,,2.0,1.0,1.0,1.0,,1.0,5.0,2.0,,2.0,6.0,2.0,4.0,11.0,2.0,4.0,18.0,21.0,,,,,,,,,,1.0,,,,,,47,230620,85.0,1822.0,,,1.0,,,,,73.0,73.0,73.0,230.0,11684.0,1190.0,1598.0,43.0,53.0,48.0,818.0,1.0,4.0,1.0,2.0,9.0,1.0,5.0,11.0,14.0,37.0,59.0,86.0,155.0,215.0,1834.0,236.0,157.0,229.0,1046.0,1479.0,1780.0,1788.0,1541.0,1894.0,926.0,,,,4.0,,,,,,,,,,,,,1.0,4.0,8.0,1.0,1.0,4.0,24.0,59.0,205.0,279.0,206.0,248.0,105.0,,3.0,,44.0,,,,,1.0,,,,,,,,,1.0,,47,1509.0,1335.0,1644.0,815.0,279.0,206.0,248.0,105.0,73.0,,,1.0,,1437.0,,,37.0,38.0,48.0,614.0,1.0,4.0,1.0,2.0,6.0,1.0,5.0,10.0,13.0,37.0,59.0,86.0,150.0,210.0,1820.0,230.0,156.0,225.0,1015.0,1402.0,1562.0,,,,,,,,,,,,,,,,,1.0,4.0,8.0,1.0,1.0,4.0,24.0,59.0,205.0,,1.0,2.0,31.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,19.0,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690503,95.0,2.0,21.0,15.0,47.0,12.0,3.0,328.0,26.0,,145506,1046.0,4617.0,480.0,3540.0,416.0,3214.0,122.0,3021.0,1588.0,2856.0,5268.0,,10.0,691.0,5038.0,3540.0,4544.0,,1.0,85.0,364.0,70.0,26.0,26.0,261.0,1824.0,90000,1445.0,21.0,339.0,30.0,19.0,71.0,107.0,15.0,172.0,35.0,494.0,193.0,55.0,46.0,137.0,82.0,98.0,97.0,205.0,416.0,240.0,253.0,336.0,224.0,119.0,113.0,523.0,,,1.0,,,,,,2.0,4.0,3.0,1.0,,,3.0,3.0,5.0,9.0,12.0,43.0,46.0,9.0,47.0,42.0,26.0,26.0,,,,,,,,,,,,,,,,47,230643,70.0,1824.0,,,22.0,,,,,84.0,84.0,83.0,162.0,4179.0,154.0,916.0,29.0,57.0,78.0,794.0,43.0,22.0,19.0,25.0,42.0,27.0,48.0,30.0,43.0,81.0,97.0,115.0,162.0,174.0,458.0,191.0,185.0,18.0,484.0,1530.0,368.0,30.0,32.0,56.0,11.0,,,,5.0,,,,,,,,,,1.0,,,3.0,5.0,5.0,4.0,5.0,,4.0,19.0,13.0,5.0,1.0,,1.0,1.0,1.0,3.0,62.0,5.0,1.0,,1.0,4.0,3.0,1.0,1.0,,,2.0,4.0,1.0,2.0,,47,25.0,31.0,54.0,10.0,5.0,1.0,,1.0,82.0,,,,,741.0,,,21.0,47.0,49.0,535.0,18.0,10.0,15.0,19.0,18.0,12.0,23.0,22.0,36.0,59.0,71.0,95.0,129.0,164.0,437.0,166.0,178.0,18.0,454.0,1449.0,343.0,,,,,,,,,,,,,,1.0,,,3.0,5.0,5.0,4.0,5.0,,4.0,19.0,13.0,,7.0,13.0,43.0,7.0,5.0,,1.0,,,,,,,,,,,,,,,,,,17.0,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690503,70.0,1.0,23.0,15.0,18.0,12.0,3.0,302.0,12.0,,142754,465.0,1109.0,431.0,1106.0,370.0,1098.0,68.0,1783.0,966.0,780.0,3428.0,,1.0,740.0,1525.0,1105.0,1079.0,,1.0,2.0,9.0,65.0,12.0,12.0,203.0,1927.0,90000,924.0,18.0,308.0,14.0,31.0,64.0,67.0,2.0,43.0,32.0,285.0,51.0,48.0,21.0,100.0,11.0,49.0,60.0,40.0,27.0,48.0,45.0,31.0,69.0,33.0,103.0,75.0,3.0,,,,7.0,,,,3.0,5.0,,1.0,1.0,,7.0,,3.0,7.0,9.0,2.0,6.0,10.0,1.0,8.0,3.0,24.0,,,,1.0,,,,,,,,,,,,47,230619,65.0,1927.0,,,1.0,,,1.0,,43.0,42.0,41.0,130.0,2514.0,81.0,420.0,51.0,110.0,239.0,665.0,27.0,36.0,9.0,11.0,24.0,29.0,12.0,21.0,37.0,24.0,29.0,22.0,23.0,42.0,53.0,68.0,74.0,2.0,625.0,612.0,170.0,,,,,,20.0,35.0,6.0,3.0,14.0,,,2.0,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,1.0,9.0,6.0,35.0,,,1.0,,,,,,1.0,,,,1.0,,,47,,,,,,,,,42.0,,,,,342.0,1.0,1.0,42.0,73.0,193.0,528.0,24.0,22.0,5.0,10.0,22.0,27.0,12.0,21.0,34.0,23.0,27.0,20.0,22.0,38.0,53.0,62.0,69.0,2.0,600.0,577.0,167.0,,7.0,27.0,2.0,3.0,14.0,,,2.0,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,9.0,7.0,20.0,,1.0,,,,,,,,,,,,,,,,,,,,31.0,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-690503,65.0,1.0,19.0,18.0,13.0,14.0,3.0,332.0,11.0,,152463,1923.0,21317.0,475.0,3167.0,414.0,10440.0,78.0,3227.0,1550.0,10088.0,6608.0,,3.0,1945.0,21789.0,3167.0,21260.0,,1.0,24.0,181.0,91.0,11.0,11.0,223.0,1921.0,90000,1258.0,35.0,294.0,17.0,53.0,87.0,67.0,19.0,49.0,41.0,228.0,62.0,259.0,58.0,166.0,26.0,213.0,118.0,249.0,789.0,1142.0,2671.0,4703.0,711.0,132.0,106.0,109.0,4.0,,3.0,,12.0,,,,,6.0,,1.0,1.0,3.0,8.0,1.0,,3.0,3.0,35.0,51.0,83.0,785.0,284.0,48.0,41.0,1.0,,,2.0,,,,,,,,,,,,47,230619,91.0,1921.0,,,105.0,,,,,62.0,61.0,59.0,158.0,4339.0,96.0,622.0,29.0,107.0,249.0,645.0,10.0,3.0,16.0,13.0,15.0,12.0,11.0,4.0,12.0,17.0,15.0,13.0,8.0,31.0,56.0,58.0,189.0,2.0,2264.0,663.0,585.0,1.0,1.0,17.0,11.0,,6.0,16.0,9.0,,,,,,,,,,,,,,1.0,,2.0,,,3.0,4.0,1.0,,,1.0,,1.0,6.0,14.0,38.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,2.0,2.0,47,1.0,1.0,12.0,11.0,,,1.0,,59.0,,1.0,,3.0,512.0,1.0,1.0,24.0,68.0,125.0,463.0,5.0,3.0,12.0,8.0,8.0,11.0,3.0,4.0,8.0,7.0,14.0,11.0,8.0,22.0,48.0,50.0,178.0,2.0,2221.0,640.0,574.0,,4.0,12.0,5.0,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,7.0,5.0,34.0,,2.0,,,,,,,,,,,,,,,,,,,,6.0,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-690503,47.0,1.0,10.0,12.0,11.0,13.0,3.0,305.0,10.0,,143210,461.0,2751.0,447.0,799.0,377.0,1844.0,70.0,1185.0,727.0,1534.0,2323.0,,1.0,499.0,3203.0,799.0,2751.0,,1.0,12.0,69.0,75.0,10.0,10.0,153.0,2140.0,90000,596.0,27.0,418.0,50.0,47.0,82.0,50.0,9.0,34.0,33.0,66.0,28.0,70.0,25.0,73.0,8.0,31.0,32.0,72.0,122.0,226.0,421.0,298.0,51.0,18.0,65.0,90.0,,,1.0,,2.0,,,,2.0,10.0,1.0,3.0,,4.0,5.0,2.0,2.0,4.0,1.0,4.0,9.0,30.0,83.0,10.0,3.0,14.0,,,,,,,,,,,,,,,1.0,47,230619,75.0,2140.0,,,10.0,,,,,48.0,48.0,47.0,100.0,1670.0,57.0,233.0,17.0,49.0,42.0,450.0,23.0,17.0,15.0,14.0,8.0,25.0,16.0,8.0,12.0,10.0,25.0,15.0,17.0,19.0,19.0,56.0,87.0,1.0,501.0,352.0,158.0,,,2.0,2.0,,,,10.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,2.0,2.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,,26.0,,,,,,,,,,,1.0,,,,,47,,,1.0,1.0,,,1.0,1.0,47.0,,,,,199.0,,,17.0,42.0,42.0,342.0,18.0,15.0,14.0,13.0,7.0,21.0,13.0,8.0,12.0,9.0,19.0,15.0,12.0,13.0,16.0,52.0,84.0,1.0,497.0,334.0,143.0,,,,5.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,2.0,26.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690503,28.0,1.0,10.0,4.0,6.0,7.0,3.0,289.0,8.0,,142158,461.0,878.0,400.0,930.0,317.0,796.0,93.0,1026.0,660.0,534.0,1595.0,,1.0,16.0,1250.0,929.0,829.0,,1.0,2.0,19.0,81.0,8.0,8.0,525.0,2383.0,90000,581.0,13.0,302.0,25.0,46.0,78.0,42.0,2.0,49.0,20.0,116.0,41.0,9.0,17.0,43.0,3.0,23.0,18.0,23.0,14.0,29.0,23.0,15.0,12.0,59.0,40.0,353.0,4.0,,1.0,,3.0,,,,2.0,5.0,,1.0,4.0,,2.0,,1.0,,,,3.0,,2.0,,7.0,12.0,,,,,,,,,,,,,,,1.0,47,230619,81.0,2383.0,,,4.0,,,1.0,,38.0,38.0,37.0,475.0,1402.0,32.0,574.0,7.0,25.0,49.0,750.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,11.0,5.0,6.0,17.0,22.0,59.0,64.0,51.0,44.0,3.0,54.0,160.0,68.0,1.0,11.0,52.0,530.0,,1.0,,1.0,,,,,,,,,,,,,,3.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,2.0,,,,,18.0,,,,,,,,,,,,,,,1.0,47,1.0,10.0,50.0,510.0,,1.0,2.0,,38.0,,,5.0,,157.0,,,7.0,23.0,49.0,659.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,6.0,16.0,20.0,55.0,62.0,49.0,37.0,2.0,50.0,156.0,63.0,,1.0,,,,,,,,,,,,,,,,3.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,43.0,,,,,2.0,,,,,,,,,,,,,,,,,12.0,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690503,32.0,1.0,10.0,6.0,8.0,6.0,3.0,298.0,17.0,1.0,141559,232.0,193.0,390.0,224.0,344.0,425.0,39.0,629.0,458.0,145.0,1026.0,,,21.0,624.0,224.0,193.0,,1.0,2.0,8.0,80.0,17.0,17.0,241.0,2709.0,90000,443.0,17.0,248.0,17.0,37.0,79.0,31.0,5.0,46.0,27.0,12.0,11.0,6.0,9.0,37.0,1.0,7.0,22.0,2.0,10.0,6.0,4.0,4.0,1.0,12.0,22.0,55.0,2.0,,1.0,,,,1.0,,1.0,8.0,1.0,,1.0,,2.0,,1.0,4.0,,2.0,1.0,2.0,,,2.0,5.0,,,,,,,,,,,,,,,,47,230620,80.0,2709.0,,,,,,,,40.0,40.0,38.0,201.0,891.0,24.0,254.0,11.0,38.0,39.0,456.0,3.0,3.0,3.0,8.0,3.0,3.0,1.0,2.0,4.0,8.0,22.0,22.0,28.0,52.0,38.0,51.0,37.0,5.0,65.0,185.0,74.0,2.0,1.0,2.0,3.0,,,,2.0,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,,18.0,,,,,,,,,,,1.0,1.0,,,,47,2.0,1.0,1.0,2.0,,,1.0,1.0,37.0,,,,,122.0,,,10.0,30.0,38.0,380.0,3.0,3.0,3.0,7.0,3.0,3.0,1.0,2.0,4.0,8.0,18.0,17.0,28.0,50.0,36.0,50.0,36.0,5.0,61.0,173.0,72.0,,,,1.0,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690503,38.0,1.0,6.0,9.0,15.0,5.0,3.0,268.0,18.0,,141646,274.0,230.0,402.0,268.0,362.0,462.0,49.0,845.0,501.0,183.0,1252.0,,,16.0,659.0,268.0,230.0,,1.0,2.0,4.0,77.0,18.0,18.0,129.0,2772.0,90000,423.0,16.0,293.0,26.0,43.0,81.0,44.0,17.0,48.0,26.0,29.0,12.0,16.0,6.0,50.0,2.0,4.0,13.0,8.0,3.0,2.0,3.0,1.0,5.0,7.0,23.0,68.0,2.0,,3.0,,2.0,2.0,4.0,8.0,7.0,8.0,4.0,,6.0,,7.0,,,5.0,5.0,,,,,3.0,4.0,3.0,,,,,,,,,,,,,,1.0,,47,230643,77.0,2772.0,6.0,2.0,,1.0,2.0,,,43.0,42.0,40.0,91.0,1087.0,42.0,202.0,24.0,133.0,112.0,371.0,7.0,8.0,9.0,19.0,13.0,16.0,5.0,2.0,8.0,10.0,9.0,12.0,40.0,55.0,57.0,54.0,38.0,3.0,63.0,188.0,67.0,1.0,2.0,5.0,,1.0,10.0,2.0,2.0,,,2.0,1.0,2.0,,,,,2.0,,,,2.0,1.0,,1.0,,1.0,,,,,,,,3.0,,25.0,,,,,,,,,,,,,,1.0,,47,1.0,2.0,5.0,,,,,,38.0,,,,,168.0,2.0,2.0,20.0,106.0,110.0,278.0,7.0,8.0,7.0,18.0,10.0,16.0,4.0,2.0,8.0,8.0,9.0,12.0,39.0,53.0,50.0,52.0,37.0,3.0,54.0,178.0,66.0,1.0,10.0,2.0,2.0,,,1.0,1.0,2.0,,,,,1.0,,,,2.0,1.0,,1.0,,1.0,,,,2.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690503,38.0,1.0,8.0,8.0,12.0,9.0,3.0,277.0,26.0,,141756,294.0,134.0,541.0,137.0,487.0,483.0,73.0,709.0,578.0,114.0,1190.0,,,18.0,704.0,137.0,134.0,,1.0,1.0,1.0,102.0,26.0,26.0,178.0,2761.0,90000,452.0,17.0,403.0,37.0,56.0,108.0,56.0,2.0,70.0,43.0,7.0,2.0,12.0,2.0,48.0,3.0,3.0,7.0,4.0,6.0,2.0,5.0,1.0,1.0,7.0,13.0,64.0,2.0,1.0,9.0,,,,7.0,,3.0,9.0,,,6.0,,3.0,,,1.0,2.0,1.0,,2.0,,,5.0,1.0,,3.0,,,,,,,,,,,,1.0,,47,230619,102.0,2761.0,,,,,,,,45.0,44.0,43.0,125.0,1013.0,38.0,269.0,14.0,59.0,43.0,468.0,3.0,2.0,5.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,11.0,16.0,61.0,72.0,1.0,99.0,319.0,103.0,,16.0,3.0,,,,4.0,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,7.0,,27.0,,,,,,,,,,,,,,,,47,,15.0,3.0,,,1.0,,,43.0,,,,1.0,210.0,1.0,1.0,9.0,31.0,33.0,352.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,9.0,16.0,60.0,68.0,1.0,91.0,297.0,91.0,,,4.0,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,2.0,5.0,6.0,,,,,,,,,,,,,,1.0,,,,,,,,10.0,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690503,29.0,1.0,8.0,4.0,7.0,9.0,3.0,297.0,10.0,,141908,286.0,409.0,392.0,510.0,320.0,557.0,65.0,845.0,663.0,296.0,1338.0,,,21.0,798.0,509.0,404.0,,1.0,2.0,4.0,70.0,10.0,10.0,169.0,2988.0,90000,583.0,11.0,300.0,30.0,69.0,68.0,35.0,2.0,38.0,38.0,32.0,46.0,38.0,7.0,37.0,,2.0,11.0,6.0,14.0,5.0,6.0,5.0,40.0,21.0,24.0,107.0,2.0,,4.0,,2.0,,2.0,,2.0,3.0,,2.0,,,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,47,230619,70.0,2988.0,,,,,,,,35.0,35.0,34.0,135.0,1177.0,17.0,202.0,6.0,54.0,47.0,355.0,2.0,2.0,1.0,6.0,1.0,2.0,1.0,5.0,3.0,,1.0,3.0,2.0,14.0,67.0,56.0,50.0,4.0,39.0,202.0,83.0,35.0,50.0,295.0,10.0,,1.0,6.0,11.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,3.0,,18.0,,,,,,,,,,,,,1.0,1.0,,47,35.0,50.0,291.0,10.0,,,,,34.0,,1.0,,8.0,117.0,,,6.0,39.0,40.0,285.0,2.0,2.0,1.0,6.0,1.0,2.0,1.0,5.0,3.0,,1.0,3.0,2.0,10.0,64.0,56.0,48.0,4.0,35.0,190.0,79.0,,1.0,4.0,5.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690503,29.0,1.0,9.0,10.0,6.0,3.0,3.0,312.0,12.0,,143855,1047.0,3231.0,469.0,1971.0,363.0,1874.0,273.0,1819.0,1103.0,1601.0,2783.0,,,28.0,3440.0,1970.0,2999.0,4.0,1.0,4.0,22.0,86.0,12.0,12.0,151.0,3306.0,90000,1125.0,17.0,328.0,26.0,71.0,108.0,66.0,10.0,47.0,33.0,302.0,124.0,117.0,56.0,67.0,47.0,61.0,38.0,17.0,37.0,25.0,40.0,28.0,63.0,153.0,222.0,1057.0,3.0,,3.0,,3.0,2.0,12.0,,,3.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,6.0,,1.0,,,,2.0,,,,,,,,,1.0,47,230619,86.0,3306.0,,,1.0,,,,,30.0,26.0,25.0,121.0,2517.0,89.0,360.0,24.0,86.0,43.0,530.0,3.0,5.0,2.0,12.0,7.0,9.0,3.0,14.0,12.0,15.0,20.0,24.0,19.0,43.0,52.0,112.0,129.0,43.0,173.0,190.0,199.0,153.0,209.0,550.0,285.0,,,1.0,7.0,,,,,,2.0,,,,,,,,2.0,1.0,1.0,1.0,2.0,4.0,1.0,12.0,7.0,5.0,5.0,8.0,,8.0,,26.0,,,,,,,,1.0,,,,,1.0,,2.0,47,136.0,194.0,537.0,269.0,6.0,5.0,5.0,8.0,22.0,2.0,2.0,1.0,1.0,297.0,4.0,4.0,23.0,48.0,42.0,409.0,3.0,5.0,2.0,12.0,7.0,7.0,3.0,10.0,12.0,15.0,19.0,24.0,19.0,36.0,51.0,107.0,115.0,40.0,165.0,179.0,179.0,,,1.0,4.0,,,,,,2.0,,,,,,,,2.0,1.0,1.0,1.0,2.0,4.0,1.0,12.0,,,1.0,33.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,8.0,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690503,76.0,2.0,9.0,36.0,24.0,4.0,3.0,705.0,12.0,1.0,158147,9424.0,26620.0,692.0,18504.0,666.0,12745.0,1728.0,9582.0,4019.0,12287.0,13184.0,,10.0,72.0,24791.0,18502.0,24080.0,11.0,1.0,14.0,230.0,128.0,12.0,12.0,350.0,2751.0,90000,4399.0,90.0,629.0,328.0,451.0,789.0,531.0,150.0,1894.0,151.0,1297.0,458.0,793.0,404.0,211.0,59.0,294.0,525.0,519.0,731.0,504.0,656.0,617.0,902.0,1150.0,2640.0,5671.0,62.0,7.0,19.0,28.0,31.0,42.0,74.0,43.0,31.0,29.0,23.0,20.0,13.0,15.0,6.0,4.0,7.0,14.0,6.0,4.0,16.0,38.0,37.0,57.0,47.0,142.0,4.0,1.0,1.0,2.0,,1.0,,2.0,,2.0,,,1.0,,1.0,47,230619,128.0,2751.0,35.0,3.0,149.0,4.0,,4.0,,69.0,60.0,56.0,279.0,11399.0,487.0,2877.0,409.0,362.0,663.0,1408.0,52.0,32.0,53.0,67.0,44.0,54.0,61.0,88.0,88.0,133.0,129.0,120.0,177.0,347.0,709.0,679.0,443.0,289.0,412.0,574.0,362.0,249.0,386.0,970.0,5404.0,,1.0,7.0,23.0,,,,1.0,,,,,4.0,2.0,2.0,2.0,1.0,4.0,23.0,41.0,38.0,54.0,18.0,29.0,7.0,8.0,8.0,5.0,8.0,47.0,27.0,84.0,90.0,1.0,3.0,4.0,1.0,1.0,,3.0,5.0,9.0,12.0,5.0,4.0,17.0,20.0,1.0,47,230.0,337.0,885.0,5223.0,5.0,8.0,4.0,7.0,52.0,7.0,17.0,45.0,10.0,2322.0,9.0,9.0,176.0,222.0,267.0,1009.0,47.0,20.0,32.0,60.0,39.0,52.0,47.0,63.0,50.0,80.0,104.0,100.0,142.0,284.0,603.0,570.0,377.0,218.0,359.0,518.0,318.0,,1.0,6.0,6.0,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,23.0,41.0,38.0,50.0,17.0,26.0,6.0,3.0,6.0,3.0,590.0,9.0,17.0,2.0,4.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,19.0,,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690503,103.0,4.0,32.0,33.0,31.0,5.0,3.0,350.0,12.0,1.0,192619,24167.0,98798.0,802.0,49921.0,908.0,41882.0,5162.0,24293.0,8150.0,41355.0,32125.0,9.0,77.0,94.0,91378.0,49920.0,90589.0,2.0,1.0,11.0,205.0,160.0,12.0,12.0,401.0,2886.0,90000,8096.0,123.0,488.0,59.0,151.0,280.0,177.0,107.0,3156.0,295.0,2338.0,1118.0,1573.0,1013.0,1380.0,1321.0,2987.0,3186.0,5950.0,3567.0,2391.0,2744.0,2154.0,2187.0,3089.0,8025.0,17521.0,17.0,,3.0,,2.0,5.0,2.0,,31.0,5.0,25.0,7.0,11.0,19.0,85.0,155.0,158.0,114.0,304.0,570.0,206.0,268.0,342.0,156.0,180.0,464.0,,,,,1.0,,,2.0,,1.0,1.0,,2.0,2.0,7.0,47,230620,160.0,2886.0,1.0,13.0,727.0,,1.0,15.0,1.0,84.0,80.0,78.0,305.0,26596.0,1689.0,8084.0,1738.0,317.0,2447.0,1757.0,31.0,65.0,81.0,88.0,99.0,79.0,119.0,189.0,231.0,268.0,418.0,637.0,910.0,1137.0,2036.0,1312.0,614.0,691.0,1212.0,1714.0,1716.0,1586.0,1773.0,3235.0,9885.0,2.0,3.0,15.0,86.0,,,,,2.0,3.0,7.0,14.0,18.0,18.0,16.0,52.0,72.0,68.0,229.0,140.0,73.0,67.0,85.0,55.0,98.0,81.0,69.0,116.0,143.0,299.0,42.0,411.0,113.0,,3.0,7.0,4.0,7.0,1.0,3.0,7.0,7.0,6.0,6.0,7.0,5.0,16.0,12.0,47,1356.0,1580.0,2982.0,9353.0,80.0,69.0,113.0,139.0,76.0,30.0,29.0,99.0,73.0,6703.0,4.0,4.0,438.0,158.0,656.0,1224.0,31.0,53.0,54.0,73.0,71.0,73.0,101.0,147.0,186.0,229.0,375.0,557.0,804.0,1047.0,1739.0,1114.0,498.0,609.0,1044.0,1544.0,1513.0,,2.0,10.0,53.0,,,,,2.0,3.0,6.0,14.0,17.0,13.0,15.0,51.0,72.0,68.0,229.0,140.0,68.0,66.0,84.0,53.0,97.0,3.0,14.0,28.0,1308.0,8.0,13.0,36.0,25.0,5.0,,,,,,2.0,,,,2.0,3.0,,,,,,20.0,,,
